id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1332482755305869313,1332482755305869313,2020-11-28 00:33:39 UTC,2020-11-28,00:33:39,+0000,331441395,element_alone,elementalone,,"Daily Commodity Futures Price Chart: Jan. 2021 Rough Rice (Globex) (CBOT) Trading Unit:2,000 cwt Tick Size:1/2 cent/cwt ($10/contract) Quoted Units:US $ per hundredweight Initial Margin:$1,283   Maint Margin: $950 Contract Months:Jan, Mar, May, Jul, Sep, Nov  https://t.co/32liLVQf6Z",en,[],[],['https://pbs.twimg.com/media/En3t9HfWMAYcdtK.png'],0,0,0,[],[],https://twitter.com/element_alone/status/1332482755305869313,False,,1,https://pbs.twimg.com/media/En3t9HfWMAYcdtK.png,,,,,,,[],,,,
1331576963451002882,1331576963451002882,2020-11-25 12:34:22 UTC,2020-11-25,12:34:22,+0000,830261183202594816,commodityimpvol,CommodityVol.com,,"#OATT #AGS #GRAINS #BEANS #ROUGH RICE OPTIONS Nov 24, 2020 14 Z[24] 2020 Vol= 0.1472 Strike= 12.4 14 G[19] 2021 Vol= 0.1657 Strike= 12.6 Please visit  https://t.co/1v89yWoPUs to view our offerings  https://t.co/n4EPdyxCX0",en,[],['https://www.commodityvol.com'],['https://pbs.twimg.com/media/Enq2MOeXUAMyc0O.jpg'],1,0,0,"['oatt', 'ags', 'grains', 'beans', 'rough']",[],https://twitter.com/CommodityImpVol/status/1331576963451002882,False,,1,https://pbs.twimg.com/media/Enq2MOeXUAMyc0O.jpg,,,,,,,[],,,,
1325715275040223233,1325715275040223233,2020-11-09 08:22:06 UTC,2020-11-09,08:22:06,+0000,1306093196460593153,sdsofficial1,sdsofficial,,Food commodity prices could see the largest increases if the economy experiences higher inflation. Rough rice prices could benefit from these conditions. #ricetrading #rice #broking #patency #onlinetrading #SDS #traders  #trading #trader #daytrader #money  #daytrading  https://t.co/6M8ziR9SKi,en,[],[],['https://pbs.twimg.com/media/EmXjAQDVoAAEJ4k.jpg'],0,0,1,"['ricetrading', 'rice', 'broking', 'patency', 'onlinetrading', 'sds', 'traders', 'trading', 'trader', 'daytrader', 'money', 'daytrading']",[],https://twitter.com/sdsofficial1/status/1325715275040223233,False,,1,https://pbs.twimg.com/media/EmXjAQDVoAAEJ4k.jpg,,,,,,,[],,,,
1323982563757666304,1323982563757666304,2020-11-04 13:36:56 UTC,2020-11-04,13:36:56,+0000,202411176,totalinvestor1,totalinvestor,,ZRF21 Rough #Rice Jan '21 #commodity ZRF21 is bearish but may find temporary support at 12.20  https://t.co/66kXcUfgYY  https://t.co/dxjK0miMkh,en,[],['https://totalinvestor.blogspot.com/'],['https://pbs.twimg.com/media/El-7Hq-WMAAEao1.jpg'],0,0,0,"['rice', 'commodity']",[],https://twitter.com/totalinvestor1/status/1323982563757666304,False,,1,https://pbs.twimg.com/media/El-7Hq-WMAAEao1.jpg,,,,,,,[],,,,
1318909330574499846,1318909330574499846,2020-10-21 13:37:43 UTC,2020-10-21,13:37:43,+0000,202411176,totalinvestor1,totalinvestor,,ZRX20 Rough #Rice Nov '20 #commodity  https://t.co/66kXcUfgYY  https://t.co/Sd4STuE3m9,en,[],['https://totalinvestor.blogspot.com/'],['https://pbs.twimg.com/media/Ek21CqoWAAAP-BX.jpg'],0,0,0,"['rice', 'commodity']",[],https://twitter.com/totalinvestor1/status/1318909330574499846,False,,1,https://pbs.twimg.com/media/Ek21CqoWAAAP-BX.jpg,,,,,,,[],,,,
1316931332216442882,1316931332216442882,2020-10-16 02:37:51 UTC,2020-10-16,02:37:51,+0000,552531471,ansellundberg,Ansel Lundberg,,What commodity price can YOU get spot on? I’ve got Henry hub natural gas and CA energy ... but not rough rice 😂,en,[],[],[],2,0,8,[],[],https://twitter.com/ansellundberg/status/1316931332216442882,False,https://twitter.com/IAStartingLine/status/1316913995585040385,0,,,,,,,,[],,,,
1310608408836542465,1310608408836542465,2020-09-28 15:52:49 UTC,2020-09-28,15:52:49,+0000,755185195708510208,ricefuturesguy,Kevin Ries,,I traded my first rough rice futures contract on the floor of the New Orleans Commodity Exchange when the contract began trading. Over the years as a speculator I have learned this lesson the hard way: when you have no strong opinion patience is a virtue...,en,[],[],[],0,0,4,[],[],https://twitter.com/RiceFuturesGuy/status/1310608408836542465,False,,0,,,,,,,,[],,,,
1308724817764454401,1308723617941909507,2020-09-23 11:08:06 UTC,2020-09-23,11:08:06,+0000,38476367,hmeisler,Helene Meisler,,@t_davidof rough rice. only a true commodity guy knows rough rice :),en,[],[],[],0,0,2,[],[],https://twitter.com/hmeisler/status/1308724817764454401,False,,0,,,,,,,,"[{'screen_name': 't_davidof', 'name': 'Tony Davidof', 'id': '1236466345983672320'}]",,,,
1294079274144546817,1294079274144546817,2020-08-14 01:11:56 UTC,2020-08-14,01:11:56,+0000,3278299729,alisafi110,Aliii,,#Rough_Rice (H4) is setting up the bullish pattern for $14 and above. #agricultural  #Commodity  https://t.co/CvIRsulXNQ,en,[],[],['https://pbs.twimg.com/media/EfV-OsrVAAE2Pou.jpg'],0,0,3,"['rough_rice', 'agricultural', 'commodity']",[],https://twitter.com/AliSafi110/status/1294079274144546817,False,,1,https://pbs.twimg.com/media/EfV-OsrVAAE2Pou.jpg,,,,,,,[],,,,
1293892574646808579,1293892574646808579,2020-08-13 12:50:03 UTC,2020-08-13,12:50:03,+0000,202411176,totalinvestor1,totalinvestor,,ZRU20 Rough #Rice Sep '20 #commodity  https://t.co/66kXcUfgYY  https://t.co/aMzZMah8qY,cs,[],['https://totalinvestor.blogspot.com/'],['https://pbs.twimg.com/media/EfTUZK0WAAUom9k.jpg'],0,0,0,"['rice', 'commodity']",[],https://twitter.com/totalinvestor1/status/1293892574646808579,False,,1,https://pbs.twimg.com/media/EfTUZK0WAAUom9k.jpg,,,,,,,[],,,,
